NearMissID,ObservationID,Description,ImmediateAction,CorrectiveAction,ActionOwner,ClosedDate
NM0001,OBS00089,Conveyor jam created sudden movement risk.,Machine paused and blockage cleared.,Implement pedestrian–forklift separation lines.,EMP0153,2024-09-12 00:00:00
NM0002,OBS00119,Worker nearly slipped due to oil droplet.,Tool retrieved and platform secured.,Schedule preventive maintenance.,EMP0154,2024-08-07 00:00:00
NM0003,OBS00407,Hot work sparks spread near flammable area.,Supervisor alerted and worker repositioned.,Schedule preventive maintenance.,EMP0069,2024-04-20 00:00:00
NM0004,OBS00032,Hot work sparks spread near flammable area.,Supervisor alerted and worker repositioned.,Training on material stacking provided.,EMP0160,2024-11-22 00:00:00
NM0005,OBS00229,Conveyor jam created sudden movement risk.,Boxes restacked and aisle cleared.,Training on material stacking provided.,EMP0053,2024-04-29 00:00:00
NM0006,OBS00305,Conveyor jam created sudden movement risk.,Tool retrieved and platform secured.,Install tool tethering system.,EMP0185,2024-05-05 00:00:00
NM0007,OBS00234,Conveyor jam created sudden movement risk.,Boxes restacked and aisle cleared.,Training on material stacking provided.,EMP0192,2024-09-12 00:00:00
NM0008,OBS00205,Conveyor jam created sudden movement risk.,Machine paused and blockage cleared.,Implement pedestrian–forklift separation lines.,EMP0121,2024-06-26 00:00:00
NM0009,OBS00487,Loose material on platform nearly caused trip.,Supervisor alerted and worker repositioned.,Install tool tethering system.,EMP0009,2024-04-11 00:00:00
NM0010,OBS00282,Improper PPE observed during grinding task.,Tool retrieved and platform secured.,Training on material stacking provided.,EMP0140,2024-04-07 00:00:00
NM0011,OBS00138,Worker nearly slipped due to oil droplet.,Area cordoned off immediately.,Implement pedestrian–forklift separation lines.,EMP0123,2024-03-02 00:00:00
NM0012,OBS00073,Improper PPE observed during grinding task.,Machine paused and blockage cleared.,Schedule preventive maintenance.,EMP0028,2024-11-30 00:00:00
NM0013,OBS00440,Hot work sparks spread near flammable area.,Machine paused and blockage cleared.,Install tool tethering system.,EMP0091,2024-01-01 00:00:00
NM0014,OBS00007,Forklift passed close to worker in aisle.,Tool retrieved and platform secured.,Training on material stacking provided.,EMP0059,2024-04-19 00:00:00
NM0015,OBS00365,Loose material on platform nearly caused trip.,Machine paused and blockage cleared.,Update SOP and conduct toolbox talk.,EMP0014,2024-01-31 00:00:00
NM0016,OBS00332,Stacked boxes leaned dangerously.,Area cordoned off immediately.,Update SOP and conduct toolbox talk.,EMP0118,2024-11-21 00:00:00
NM0017,OBS00471,Forklift passed close to worker in aisle.,Area cordoned off immediately.,Schedule preventive maintenance.,EMP0088,2024-11-25 00:00:00
NM0018,OBS00198,Unsecured tool almost dropped from height.,Machine paused and blockage cleared.,Implement pedestrian–forklift separation lines.,EMP0119,2024-02-03 00:00:00
NM0019,OBS00291,Stacked boxes leaned dangerously.,Machine paused and blockage cleared.,Implement pedestrian–forklift separation lines.,EMP0067,2024-02-16 00:00:00
NM0020,OBS00124,Unsecured tool almost dropped from height.,Supervisor alerted and worker repositioned.,Training on material stacking provided.,EMP0179,2024-12-27 00:00:00
NM0021,OBS00201,Forklift passed close to worker in aisle.,Tool retrieved and platform secured.,Training on material stacking provided.,EMP0124,2024-12-19 00:00:00
NM0022,OBS00436,Loose material on platform nearly caused trip.,Supervisor alerted and worker repositioned.,Schedule preventive maintenance.,EMP0105,2024-08-03 00:00:00
NM0023,OBS00404,Worker nearly slipped due to oil droplet.,Area cordoned off immediately.,Schedule preventive maintenance.,EMP0093,2024-07-12 00:00:00
NM0024,OBS00280,Improper PPE observed during grinding task.,Supervisor alerted and worker repositioned.,Implement pedestrian–forklift separation lines.,EMP0024,2024-10-14 00:00:00
NM0025,OBS00475,Worker nearly slipped due to oil droplet.,Boxes restacked and aisle cleared.,Implement pedestrian–forklift separation lines.,EMP0029,2024-09-04 00:00:00
NM0026,OBS00184,Worker nearly slipped due to oil droplet.,Area cordoned off immediately.,Install tool tethering system.,EMP0020,2024-01-26 00:00:00
NM0027,OBS00190,Loose material on platform nearly caused trip.,Machine paused and blockage cleared.,Training on material stacking provided.,EMP0117,2024-01-27 00:00:00
NM0028,OBS00013,Loose material on platform nearly caused trip.,Tool retrieved and platform secured.,Install tool tethering system.,EMP0042,2024-08-20 00:00:00
NM0029,OBS00053,Unsecured tool almost dropped from height.,Supervisor alerted and worker repositioned.,Schedule preventive maintenance.,EMP0180,2024-06-01 00:00:00
NM0030,OBS00106,Loose material on platform nearly caused trip.,Supervisor alerted and worker repositioned.,Update SOP and conduct toolbox talk.,EMP0026,2024-12-23 00:00:00
NM0031,OBS00297,Loose material on platform nearly caused trip.,Machine paused and blockage cleared.,Install tool tethering system.,EMP0060,2024-05-11 00:00:00
NM0032,OBS00252,Loose material on platform nearly caused trip.,Area cordoned off immediately.,Training on material stacking provided.,EMP0120,2024-11-02 00:00:00
NM0033,OBS00132,Hot work sparks spread near flammable area.,Tool retrieved and platform secured.,Install tool tethering system.,EMP0136,2024-05-29 00:00:00
NM0034,OBS00314,Improper PPE observed during grinding task.,Supervisor alerted and worker repositioned.,Update SOP and conduct toolbox talk.,EMP0077,2024-11-29 00:00:00
NM0035,OBS00290,Unsecured tool almost dropped from height.,Supervisor alerted and worker repositioned.,Install tool tethering system.,EMP0142,2024-02-20 00:00:00
NM0036,OBS00500,Stacked boxes leaned dangerously.,Supervisor alerted and worker repositioned.,Update SOP and conduct toolbox talk.,EMP0026,2024-08-16 00:00:00
NM0037,OBS00470,Stacked boxes leaned dangerously.,Boxes restacked and aisle cleared.,Schedule preventive maintenance.,EMP0037,2024-04-08 00:00:00
