ObservationID,ObservationDate,ObservedEmployeeID,Location,Category,Description,RiskLevel,IsNearMiss,IsIncident
OBS00001,2024-09-25 12:05:51,EMP0041,Warehouse,Chemical Safety,Oil spill spotted on walkway.,Medium,False,False
OBS00002,2024-01-08 15:47:37,EMP0084,Line-1,Chemical Safety,Machine guard left open.,Low,False,False
OBS00003,2024-07-04 18:29:17,EMP0019,Paint Booth,PPE,Gloves missing during handling.,High,False,False
OBS00004,2024-02-09 02:18:44,EMP0034,Warehouse,Machine Safety,Poor posture observed during lifting.,Low,False,False
OBS00005,2024-04-25 11:43:47,EMP0137,Warehouse,Housekeeping,Oil spill spotted on walkway.,High,False,False
OBS00006,2024-11-23 01:16:06,EMP0151,Line-1,Chemical Safety,Chemical container improperly placed.,Low,False,False
OBS00007,2024-03-28 09:28:04,EMP0098,Paint Booth,Machine Safety,Gloves missing during handling.,Medium,True,False
OBS00008,2024-07-24 14:38:03,EMP0002,Line-3,Chemical Safety,Worker showed correct PPE usage.,Low,False,False
OBS00009,2024-03-16 16:16:34,EMP0117,Tool Room,Chemical Safety,Machine guard left open.,Medium,False,False
OBS00010,2024-05-21 03:11:37,EMP0086,Line-2,PPE,Gloves missing during handling.,Low,False,False
OBS00011,2024-09-11 22:54:10,EMP0015,Line-3,Machine Safety,Oil spill spotted on walkway.,Medium,False,False
OBS00012,2024-06-23 00:11:37,EMP0141,Paint Booth,PPE,Machine guard left open.,Medium,True,False
OBS00013,2024-05-25 11:09:12,EMP0176,Line-3,Ergonomics,Poor posture observed during lifting.,Medium,True,False
OBS00014,2024-01-01 22:36:33,EMP0132,Line-1,Ergonomics,Poor posture observed during lifting.,High,True,False
OBS00015,2024-12-09 19:32:04,EMP0085,Yard,Machine Safety,Worker showed correct PPE usage.,Low,False,False
OBS00016,2024-08-05 18:48:48,EMP0080,Yard,Housekeeping,Poor posture observed during lifting.,Low,False,False
OBS00017,2024-03-06 21:39:26,EMP0177,Tool Room,PPE,Gloves missing during handling.,Medium,False,True
OBS00018,2024-11-06 08:20:15,EMP0181,Line-1,PPE,Worker showed correct PPE usage.,Medium,False,False
OBS00019,2024-01-19 23:09:27,EMP0059,Loading Bay,Housekeeping,Gloves missing during handling.,Medium,False,False
OBS00020,2024-09-06 15:09:53,EMP0137,Tool Room,Chemical Safety,Machine guard left open.,High,False,False
OBS00021,2024-03-09 20:43:22,EMP0170,Tool Room,Ergonomics,Poor posture observed during lifting.,Low,False,False
OBS00022,2024-01-20 17:53:24,EMP0103,Line-3,Chemical Safety,Chemical container improperly placed.,Low,False,False
OBS00023,2024-12-13 12:00:15,EMP0189,Paint Booth,Housekeeping,Machine guard left open.,High,False,True
